"ISSUE_SEVERITY_RANK","ISSUE_SEVERITY","PRIORITY_SCORE","PROBLEM_TITLE","CVE","CWE","PROJECT_NAME","PROJECT_URL","EXPLOIT_MATURITY","AUTOFIXABLE","FIRST_INTRODUCED","PRODUCT_NAME","ISSUE_URL","ISSUE_STATUS_INDICATOR","ISSUE_TYPE"
3,"High",756,"Uninitialized Memory Exposure","[]","[""CWE-201""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Mature","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-npm:npmconf:20180512","Open","Vulnerability"
3,"High",751,"Prototype Pollution","[""CVE-2021-4264""]","[""CWE-1321""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Proof of Concept","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-SNYK-JS-DUSTJSLINKEDIN-1089257","Open","Vulnerability"
3,"High",750,"Container is running without root user control","[]","[]","e-corp-demo/goof-kubernetes(master):goof-deployment.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/22acd7d2-1fce-421f-a0b3-6c884b6fe682",,"Not Auto Fixable","2023-03-07 23:04:06.635","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/22acd7d2-1fce-421f-a0b3-6c884b6fe682#issue-SNYK-CC-K8S-10","Open","Configuration"
3,"High",750,"Container is running without root user control","[]","[]","e-corp-demo/goof-kubernetes(master):goof-mongo-deployment.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/03a41fca-3d9a-4ade-8656-1b4637047dc7",,"Not Auto Fixable","2023-03-07 23:04:06.675","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/03a41fca-3d9a-4ade-8656-1b4637047dc7#issue-SNYK-CC-K8S-10","Open","Configuration"
3,"High",750,"Container is running without root user control","[]","[]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/k8s/deploy.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/a4e9f79f-d380-4aa6-a54f-ccc6bb0bd3e0",,"Not Auto Fixable","2023-03-07 21:11:03.946","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/a4e9f79f-d380-4aa6-a54f-ccc6bb0bd3e0#issue-SNYK-CC-K8S-10","Open","Configuration"
3,"High",750,"Container is running without privilege escalation control","[]","[]","e-corp-demo/goof-kubernetes(master):goof-mongo-deployment.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/03a41fca-3d9a-4ade-8656-1b4637047dc7",,"Not Auto Fixable","2023-03-07 23:04:06.675","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/03a41fca-3d9a-4ade-8656-1b4637047dc7#issue-SNYK-CC-K8S-9","Open","Configuration"
3,"High",750,"Container is running without privilege escalation control","[]","[]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/k8s/deploy.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/a4e9f79f-d380-4aa6-a54f-ccc6bb0bd3e0",,"Not Auto Fixable","2023-03-07 21:11:03.946","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/a4e9f79f-d380-4aa6-a54f-ccc6bb0bd3e0#issue-SNYK-CC-K8S-9","Open","Configuration"
3,"High",750,"Container is running without privilege escalation control","[]","[]","e-corp-demo/goof-kubernetes(master):goof-deployment.yaml","https://app.snyk.io/org/stranger-danger-9r4/project/22acd7d2-1fce-421f-a0b3-6c884b6fe682",,"Not Auto Fixable","2023-03-07 23:04:06.635","Snyk IaC","https://app.snyk.io/org/stranger-danger-9r4/project/22acd7d2-1fce-421f-a0b3-6c884b6fe682#issue-SNYK-CC-K8S-9","Open","Configuration"
3,"High",741,"DLL Injection","[""CVE-2020-13110""]","[""CWE-114""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Proof of Concept","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-SNYK-JS-KERBEROS-568900","Open","Vulnerability"
3,"High",731,"Prototype Pollution","[""CVE-2020-8203""]","[""CWE-1321""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Proof of Concept","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-SNYK-JS-LODASH-567746","Open","Vulnerability"
3,"High",726,"Remote Code Execution (RCE)","[""CVE-2022-29078""]","[""CWE-94""]","e-corp-demo/goof-kubernetes(master):package.json","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7","Proof of Concept","Auto Fixable","2023-03-07 23:04:09.540","Snyk Open Source","https://app.snyk.io/org/stranger-danger-9r4/project/fc598479-7176-4eef-a4a5-97408a20d7a7#issue-SNYK-JS-EJS-2803307","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2019-19949""]","[""CWE-125""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.451","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-IMAGEMAGICK-539727","Open","Vulnerability"
4,"Critical",714,"Integer Overflow or Wraparound","[""CVE-2018-14618""]","[""CWE-190""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358559","Open","Vulnerability"
4,"Critical",714,"OS Command Injection","[""CVE-2017-17458""]","[""CWE-78""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.456","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-MERCURIAL-311070","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2017-8817""]","[""CWE-125""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358869","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2018-16842""]","[""CWE-125""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358772","Open","Vulnerability"
4,"Critical",714,"Integer Overflow or Wraparound","[""CVE-2017-8816""]","[""CWE-190""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358843","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2018-1000005""]","[""CWE-125""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358535","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2018-1000122""]","[""CWE-125""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358855","Open","Vulnerability"
4,"Critical",714,"Double Free","[""CVE-2021-22945""]","[""CWE-415""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932","No Known Exploit","Auto Fixable","2023-03-07 21:11:08.200","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932#issue-SNYK-DEBIAN11-CURL-1585150","Open","Vulnerability"
4,"Critical",714,"CVE-2018-1000007","[""CVE-2018-1000007""]","[]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358683","Open","Vulnerability"
4,"Critical",714,"OS Command Injection","[""CVE-2022-1292""]","[""CWE-78""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.670","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-OPENSSL-2807589","Open","Vulnerability"
4,"Critical",714,"CVE-2019-9636","[""CVE-2019-9636""]","[]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.456","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-PYTHON27-340070","Open","Vulnerability"
4,"Critical",714,"OS Command Injection","[""CVE-2022-1292""]","[""CWE-78""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.456","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-OPENSSL-2807589","Open","Vulnerability"
4,"Critical",714,"NULL Pointer Dereference","[""CVE-2017-14532""]","[""CWE-476""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.451","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-IMAGEMAGICK-401248","Open","Vulnerability"
4,"Critical",714,"Incorrect Default Permissions","[""CVE-2022-32207""]","[""CWE-276""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932","No Known Exploit","Auto Fixable","2023-03-07 21:11:08.200","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932#issue-SNYK-DEBIAN11-CURL-2936229","Open","Vulnerability"
4,"Critical",714,"Out-of-Bounds","[""CVE-2017-1000257""]","[""CWE-119""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358454","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Read","[""CVE-2021-46848""]","[""CWE-125""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932","No Known Exploit","Auto Fixable","2023-03-07 21:11:08.200","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932#issue-SNYK-DEBIAN11-LIBTASN16-3061097","Open","Vulnerability"
4,"Critical",714,"NULL Pointer Dereference","[""CVE-2017-14625""]","[""CWE-476""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.451","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-IMAGEMAGICK-400978","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Write","[""CVE-2018-14551""]","[""CWE-787"",""CWE-908""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.451","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-IMAGEMAGICK-402497","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Write","[""CVE-2018-1000120""]","[""CWE-787""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-358545","Open","Vulnerability"
4,"Critical",714,"Integer Overflow or Wraparound","[""CVE-2017-14062""]","[""CWE-190""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.668","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-LIBIDN20-274945","Open","Vulnerability"
4,"Critical",714,"Buffer Overflow","[""CVE-2021-3177""]","[""CWE-120""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.456","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-PYTHON35-1063181","Open","Vulnerability"
4,"Critical",714,"Out-of-bounds Write","[""CVE-2019-5953""]","[""CWE-787""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.670","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-WGET-342192","Open","Vulnerability"
4,"Critical",714,"Exposure of Resource to Wrong Sphere","[""CVE-2022-32221""]","[""CWE-668""]","e-corp-demo/java-goof(main):log4shell-goof/log4shell-server/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932","No Known Exploit","Auto Fixable","2023-03-07 21:11:08.200","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/602962c0-6470-4758-9b1a-2302137c7932#issue-SNYK-DEBIAN11-CURL-3065656","Open","Vulnerability"
4,"Critical",714,"Buffer Overflow","[""CVE-2019-5482""]","[""CWE-120""]","e-corp-demo/java-goof(main):todolist-goof/Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568","No Known Exploit","Auto Fixable","2023-03-07 21:11:12.667","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/69b0d13e-4316-4f2c-b8d8-752111154568#issue-SNYK-DEBIAN9-CURL-466505","Open","Vulnerability"
4,"Critical",714,"Buffer Overflow","[""CVE-2019-5482""]","[""CWE-120""]","e-corp-demo/goof-kubernetes(master):Dockerfile","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36","No Known Exploit","Auto Fixable","2023-03-07 23:04:19.450","Snyk Container","https://app.snyk.io/org/stranger-danger-9r4/project/383eba9a-c2ba-4dbf-a8b3-338bbfd26d36#issue-SNYK-DEBIAN9-CURL-466505","Open","Vulnerability"
